ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
199301,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
199898,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
200024,0,0.262665438,4.97125E-05,0,1.35962E-05
200033,0,0.265007801,0.00010817,0,2.71924E-05
200458,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
201326,0,0.262665438,4.97125E-05,0,1.35962E-05
201406,3.56E-08,0.267218422,7.05513E-05,0,2.71924E-05
201642,8.16E-09,0.265986301,0.000123351,0,4.07886E-05
202043,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
202209,0,0.262665438,4.97125E-05,0,1.35962E-05
202357,1.03E-08,0.267832433,9.25062E-05,0,4.07886E-05
202690,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
202843,0,0.265007801,0.00010817,0,2.71924E-05
203239,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
203312,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
203390,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
203578,4.12E-09,0.263537893,7.73359E-05,0,2.71924E-05
203723,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
203864,3.66E-08,0.262790257,5.00794E-05,0,2.71924E-05
205526,0,0.262665438,4.97125E-05,0,1.35962E-05
206346,9.58E-09,0.266834519,0.000119839,0,4.07886E-05
206410,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
206511,5.14E-09,0.266568568,0.000147806,0,4.07886E-05
207826,0,0.262665438,4.97125E-05,0,1.35962E-05
208318,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
208319,0,0.262665438,4.97125E-05,0,1.35962E-05
208579,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
209324,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
209337,0,0.262665438,4.97125E-05,0,1.35962E-05
209518,0,0.262665438,4.97125E-05,0,1.35962E-05
210024,0,0.262665438,4.97125E-05,0,1.35962E-05
210646,0,0.262665438,4.97125E-05,0,1.35962E-05
210853,0,0.262665438,4.97125E-05,0,1.35962E-05
210992,3.55E-08,0.265532093,5.2217E-05,0,2.71924E-05
212533,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
39241,0,0.255008286,1.17514E-05,0,1.35962E-05
35112,1.19E-09,0.25525166,1.91399E-05,0,2.71924E-05
51103,0,0.25518701,1.45403E-05,0,1.35962E-05
205950,0,0.25518701,1.45403E-05,0,1.35962E-05
207408,0,0.25518701,1.45403E-05,0,1.35962E-05
207872,0,0.25518701,1.45403E-05,0,1.35962E-05
209184,0,0.25518701,1.45403E-05,0,1.35962E-05
210671,0,0.25518701,1.45403E-05,0,1.35962E-05
8901,7.06E-07,0.294696269,0.000351759,0,5.43848E-05
15582,0,0.274823821,0.000134863,0,1.35962E-05
20826,2.94E-09,0.274960466,0.000163133,0,2.71924E-05
29603,2.92E-08,0.274864903,0.000135248,0,2.71924E-05
31462,2.71924E-05,0.287396744,0.000229182,0,4.07886E-05
34662,7.63E-08,0.291934588,0.00020283,0,4.07886E-05
35469,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
35824,1.08E-07,0.27487723,0.000134986,0,2.71924E-05
38986,0,0.274823821,0.000134863,0,1.35962E-05
39252,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
39303,1.28E-06,0.275411432,0.000144152,0,5.43848E-05
39350,3.25E-08,0.294952719,0.000296805,0,4.07886E-05
39806,9.16E-09,0.288969649,0.000437557,0,6.7981E-05
42561,0,0.274823821,0.000134863,0,1.35962E-05
44300,0,0.292124746,0.00032504,0,2.71924E-05
44362,0,0.274823821,0.000134863,0,1.35962E-05
44555,0,0.274823821,0.000134863,0,1.35962E-05
49351,2.92E-08,0.274864903,0.000135248,0,2.71924E-05
49925,3.50E-08,0.293920188,0.00058181,0,6.7981E-05
50045,1.91E-07,0.282491301,0.000312552,0,4.07886E-05
50126,0,0.282482621,0.000312356,0,2.71924E-05
50553,1.70E-06,0.287461893,0.000266438,0,6.7981E-05
50672,6.66E-09,0.274901887,0.000149819,0,2.71924E-05
50687,4.80E-09,0.274902915,0.000146218,0,2.71924E-05
50853,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
52099,0,0.274823821,0.000134863,0,1.35962E-05
53053,3.25E-08,0.297408442,0.00041729,0,4.07886E-05
53206,1.05E-07,0.297505885,0.000393236,0,5.43848E-05
56705,2.71924E-05,0.28663736,0.000283197,0,4.07886E-05
56777,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
56877,1.05E-07,0.275047867,0.000136025,0,2.71924E-05
56954,0,0.274823821,0.000134863,0,1.35962E-05
56964,1.44E-08,0.275001589,0.000145592,0,2.71924E-05
57139,0,0.274823821,0.000134863,0,1.35962E-05
57211,4.4488E-05,0.292687392,0.000377174,0,6.7981E-05
57449,1.78E-07,0.275832843,0.00018304,0,4.07886E-05
57573,3.06E-07,0.294987025,0.00030938,0,8.15772E-05
57818,3.70E-09,0.278840358,0.000151551,0,2.71924E-05
57940,1.35E-09,0.278642814,0.000169481,0,2.71924E-05
57941,1.24E-07,0.27530525,0.000135086,0,2.71924E-05
58258,0,0.274823821,0.000134863,0,1.35962E-05
59584,1.19E-08,0.274941965,0.000145512,0,2.71924E-05
60124,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
60151,1.15E-06,0.276521432,0.000159518,0,4.07886E-05
60967,1.17E-08,0.275712899,0.000182101,0,2.71924E-05
61570,6.17951E-05,0.299048169,0.000597746,0,0.000135962
61711,2.79028E-05,0.297978366,0.000471656,0,9.51734E-05
61902,6.95E-08,0.306871331,0.000848857,0,9.51734E-05
62063,9.60E-07,0.274827929,0.00013488,0,2.71924E-05
62268,3.25E-08,0.291920683,0.000202488,0,2.71924E-05
62286,0,0.27486593,0.000144471,0,2.71924E-05
62345,1.17E-08,0.275712899,0.000182101,0,2.71924E-05
